Продукт;Жиры, г;Белки, г;Углеводы, г;Калорийность, Ккал;;;
Макароны отварные с жиром;5;3,4;19;135;;;
Макароны яичные;2,1;11,3;69,6;342;;;
Макароны, запеченные с яйцом;8,3;4,6;14,8;152;;;
Мука 1 сорта из зерна твердой пшеницы;1,5;11,1;67,8;329;;;
Мука 1 сорта из муки высшего сорта;1,3;10,6;69;330;;;
Мука 2 сорта из муки 1 сорта;1,8;11,6;64,8;322;;;
Мука высшего сорта;1,3;10,8;69,9;334;;;
Мука кукурузная;1,5;7,2;72,1;331;;;
Мука обдирная ржаная;1,7;8,9;61,8;298;;;
Мука обойная из муки 2 сорта;2,2;11,5;61,5;312;;;
Овсяная каша на молоке;3;5,7;13,8;84;;;
Оладьи из муки 1 сорта;6,6;6,5;31,6;213;;;
Отварной белый рис;0,5;2,2;24,9;116;;;
Отварной дикий рис;0,3;4;21,1;100;;;
Отварной коричневый рис;0,9;2,6;22,8;110;;;
Пампушки с чесноком из муки 1 сорта;3,3;8,6;58,8;299;;;
Печенье сахарное из муки 1 сорта;9,4;7,4;73,1;407;;;
Печенье сахарное из муки высшего сорта;9,8;7,5;74,4;417;;;
Печенье сдобное из муки высшего сорта;16,8;6,4;68,5;451;;;
Пирожки печеные простые из муки 1 сорта;7,3;12,7;33,2;250;;;
Пряники сырцовые из муки высшего сорта;2,1;6,3;75,6;346;;;
Пудинг рисовый;5,7;5,6;32;202;;;
Рожки к чаю из муки высшего сорта;5,6;8,4;56,8;312;;;
Сдоба обыкновенная из муки 1 сорта;5,3;8,1;54,9;301;;;
Семя льна;42,2;18,3;28,9;534;;;
Соломка сладкая из муки 1 сорта;6,1;9,1;69,3;372;;;
Суп харчо с мясом и рисом;4,5;3,1;5,5;75;;;
Суп перловый с грибами;1,2;1,6;6,4;43;;;
Суп пшенный с мясом;2,2;2,9;6,4;57;;;
Суп рисовый;1,1;0,9;6,2;38;;;
Суп-пюре из рисовой крупы;1,3;1,4;7,7;48;;;
Сухари сливочные из муки высшего сорта;10,8;8,5;66,7;399;;;
Сушки простые из муки 1 сорта;1,3;10,9;68,8;331;;;
Сушки простые из муки высшего сорта;1,2;10,7;71,2;339;;;
Хлеб зерновой (мука в/с и зерно дробленое);1,4;8,6;45,1;228;;;
Хлеб паляница из муки 1 сорта;1;8,3;49,9;243;;;
Хлеб подовый (из обдирной ржаной муки);1,2;6,1;39,9;197;;;
Хлеб подовый (из сеяной ржаной муки);1;4,9;44,8;210;;;
Хлеб подовый из муки 2 сорта;1,3;8,6;45,2;228;;;
Хлеб подовый из обойной муки;1,5;8;40,1;208;;;
Хлеб пшеничный подовый из муки 1 сорта;1;7,9;48,3;235;;;
Хлеб соловецкий (мука 1 и 2 сорта);1,2;8,3;47,9;237;;;
Хлеб формовой (из обойной ржаной муки);1,2;6,6;33,4;174;;;
Хлопья «Геркулес» овсяные;6,2;12,3;61,8;352;;;
Агар;0;2;0,8;12;;;
Вафли с жировыми начинками;30,6;3,9;62,5;542;;;
Вафли с фруктово-ягодными начинками;3,3;2,8;77,3;354;;;
Глазурь жировая;37,2;3,9;48,9;547;;;
Глазурь шоколадная;34,5;4,9;52,5;542;;;
Драже сахарное;0;0;97,7;393;;;
Зeфир, глазированный шоколадом;12,3;2,2;68,4;396;;;
Зефир;0,1;0,8;79,8;326;;;
Ирис полутвердый;7,6;3,3;81,5;408;;;
Ирис тираженный с орехом;15,9;6,6;68,2;443;;;
Какао велла;4,5;15;11;147;;;
Какао тертое;49,4;13,5;13,6;559;;;
Какао-порошок;15;24,3;10,2;289;;;
Карамель глазированная;0,8;1;92,9;378;;;
Карамель леденцовая;0;0;95,8;384;;;
Карамель с молочной начинкой;1;0,8;91,2;377;;;
Карамель с фруктово-ягодной начинкой;0,1;0,1;92,4;371;;;
Карамель с шоколадно-ореховой начинкой;8;1,6;87,1;427;;;
Конфеты помадные;16,2;3,7;70,9;445;;;
Конфеты шоколадные;26,3;4;59,2;491;;;
Крахмал картофельный;0;0,1;78,2;313;;;
Крахмал кукурузный;0,6;1;83,5;343;;;
Мармелад желейный;9,2;1,5;64,2;349;;;
Мед пчелиный;0;0,1;79,4;321;;;
Мука из зародышей пшеницы;0;0,8;80,3;328;;;
Пастила;7,7;33,8;32,7;335;;;
Пастила, глазированная шоколадом;0;0,5;80;324;;;
Патока кукурузная;12;1,9;70,9;402;;;
Пектин;0,3;0;78,3;316;;;
Пирожное бисквитное с белковым кремом;0;3,5;9,3;52;;;
Пирожное вафельное молочное;7,3;4,4;63,1;336;;;
Пирожное воздушное с кремом;36,7;4,8;55,3;572;;;
Пирожное заварное с кремом (трубочка);20,8;2,6;60,5;440;;;
Пирожное крошковое;24,5;4,4;48,8;433;;;
Пирожное миндальное;19,4;5,9;47,5;388;;;
Пирожное песочное с кремом;16,2;8,5;63,2;433;;;
Пирожное слоеное с белковым кремом;28,2;5,1;52,1;485;;;
Плитки кондитерские;26;6,1;50,6;461;;;
Плитки кондитерские сладкие;34,6;7,8;48,1;537;;;
Повидло морковное;34,2;6,2;54,5;552;;;
Подварка апельсиновая;0,4;0,5;65,8;282;;;
Подварка кабачковая;0,1;0,4;66,3;268;;;
Подварка морковная;0,1;0,2;67,2;272;;;
Подварка свекольная;0,4;0,5;65,8;271;;;
Пралине с ржаной мукой;0,1;0,5;65,9;269;;;
Пралине с соевой мукой (*раффинозы и стахиозы менее 0,3%);37,7;4,7;52;567;;;
Рожь молотая жареная;32,2;9,9;51,2;535;;;
Ром-баба;1,7;7,9;68,7;322;;;
"Рулет бисквитный (производства ""Рошен"")";4,2;4;60,6;291;;;
Сахар-песок;16,3;3,3;54,1;380;;;
Сахар-рафинад;0;0;99,9;387;;;
Сироп из шиповника;0;0;99,9;400;;;
Торт бисквитный с фруктовой начинкой;0;0,2;70,5;285;;;
Торт миндальный;2,6;3,9;61,3;285;;;
Торт слоеный;28,7;7,8;44,6;468;;;
Фосфатидный концентрат соевый;37,7;8,5;42,2;542;;;
Халва тахинно-арахисовая;93,7;0;0;843;;;
Халва тахинно-шоколадная;29,2;12,7;47;502;;;
Цукаты морковные;28,1;12,8;48,4;498;;;
Чурчхела;0,2;2,9;70,5;300;;;
Шикозин;15;5;6,3;410;;;
Шоколад молочно-ореховый;99,6;0,2;0;897;;;
Шоколад молочно-ореховый с изюмом;33,9;7,5;51,3;542;;;
Шоколад горький;30,3;8;48,2;500;;;
Шоколад молочный;35,4;6,2;48,2;539;;;
Шоколад ореховый;34,7;9,8;50,4;554;;;
Шоколад полугорький;33,8;7,3;49,7;534;;;
Шоколад сладкий;35,4;4,5;52,5;549;;;
Шоколад сливочный;34;3;57,6;550;;;
Шоколадная паста;35,5;6,3;53,7;560;;;
Cливки пастеризованные 20,0% жирности;30,6;8,2;56,6;536;;;
Бри;3,2;2,8;8,6;77;;;
Варенец 2,5% жирности;66;50;1;802;;;
Гауда;2,5;2,9;4,1;53;;;
Дор Блю;27;25;2;356;;;
Йогурт плодово-ягодный, 1,5% жирности;29;21;2;353;;;
Йогурт сладкий 3,2% жирности;1,5;4;14,3;90;;;
Какао со сгущенным молоком и сахаром;6;5;3,5;92;;;
Камамбер;7,5;8,2;51,6;321;;;
Кефир 1,0% жирности;24;20;0;300;;;
Кефир нежирный;1;3;4;40;;;
Кефир 2,5% жирности;0,1;3;4;31;;;
Кефир 3,2% жирности;2,5;2,9;4;53;;;
Кофе натуральный со сгущенным молоком ;3,2;2,9;4;59;;;
Молоко пастеризованное 3,5% жирности;23;7,1;27,1;345;;;
Молоко пастеризованное, 1,5% жирности;3,5;2,9;4,7;62;;;
Молоко пастеризованное, 2,5% жирности;1,5;3;4,8;45;;;
Молоко сгущенное нежирное;2,5;2,9;4,8;54;;;
Молоко стерилизованное 3,2% жирности;0,2;6,6;10,8;71;;;
Молоко стерилизованное 3,5% жирности;3,2;3;4,7;60;;;
Молоко стерилизованное, 1,5% жирности;3,5;3;4,7;63;;;
Молоко стерилизованное, 2,5% жирности;1,5;3;4,8;45;;;
Молоко стерилизованное, «Можайское» 3,0% жирности;2,5;2,9;4,8;54;;;
Молоко топленое нежирное;3;2,9;4,7;58;;;
Молоко топленое 4,0% жирности;0,1;3;5;32;;;
Молоко «Дружба» сгущенное с сахаром;4;2,9;4,7;67;;;
Молоко «Славянское» сгущенное с сахаром нежирное;2,5;7,4;54,6;271;;;
Молоко белковое;0,2;7,4;57,1;261;;;
Молоко пастеризованное 3,2% жирности;1;4,3;6,4;52;;;
Молоко пастеризованное нежирное;3,2;2,9;4,7;60;;;
Молоко сгущенное с сахаром нежирное;0,1;3;4,9;32;;;
Молоко сгущенное с сахаром 8,5% жирности;0,2;7,5;56,8;259;;;
Молоко сгущенное с сахаром, 5,0% жирности;8,5;7,2;55,5;328;;;
Молоко сгущенное стерилизованное 7,8% жирности;5;7,1;55,2;295;;;
"Молоко сухое """"Смоленское"""" 15,0% жирности";7,8;6,4;10,3;138;;;
Молоко сухое нежирное;15;28,5;44,7;432;;;
Молоко сухое цельное 25,0% жирности;1;33,2;52,6;362;;;
Молоко топленое 1,0% жирности;25;24,2;39,3;483;;;
Молочное мороженое;1;3;4,8;40;;;
Мороженое молочное в шоколадной глазури;3,5;3,7;21,3;132;;;
Мороженое молочное крем-брюле;15;3,2;20,6;231;;;
Мороженое молочное с плодами и ягодами;3,5;3,7;22,9;138;;;
Мороженое молочное шоколадное;2,8;3,2;21,2;124;;;
Мороженое пломбир;3,7;3,6;21,2;133;;;
Мороженое пломбир в шоколадной глазури;15;3,7;20,4;232;;;
Мороженое пломбир крем-брюле;24;3,2;20,1;310;;;
Мороженое пломбир с плодами и ягодами;15;3,7;22,4;240;;;
Мороженое пломбир шоколадный;12;3,2;21,1;206;;;
Мороженое сливочное;15;3,6;20,4;231;;;
Мороженое сливочное в шоколадной глазури;10;3,7;19,4;183;;;
Мороженое сливочное крем-брюле;20;3,2;19,4;271;;;
Мороженое сливочное с плодами и ягодами;10;3,7;21,4;191;;;
Мороженое сливочное шоколадное;8;3,2;20,1;166;;;
Моцарелла;10;3,6;20;185;;;
Напиток «Снежок» 2,5% жирности;22;22;21;300;;;
Напиток «Снежок», плодово-ягодный 1,0% жирности;2,5;2,7;10,8;79;;;
Напиток «Юбилейный», 1,0% жирности;1;2,7;12,2;69;;;
Напиток «Юбилейный», 2,5% жирности;1;3;4,1;40;;;
Напиток «Юбилейный», плодово-ягодный, 2,5% жирности;2,5;2,9;4,1;53;;;
Напиток плодово-ягодный, 1,0% жирности;2,5;2,6;12,2;84;;;
Напиток кисломолочный, «Бифидин» 2,5% жирности;1;2,7;12,2;71;;;
Пармезан тертый;2,5;3,4;5,5;61;;;
Паста ацидофильная, сладкая 8,0% жирности;29;38;4;431;;;
Паста ацидофильная, сладкая, нежирная;8;6,6;25,5;203;;;
Паста молочная белковая;0,2;5,5;13,5;81;;;
Паста ацидофильная 4,0% жирности;0,2;11;2;57;;;
Пахта «Идеал» пастеризованная;4;5,5;20,5;143;;;
Пахта «Идеал», сквашенная;1;3,3;4,7;41;;;
Продукт кисломолочный «Тонус» 2,5% жирности;1;3,3;3,8;40;;;
Простокваша цитрусовая, 1,0% жирности;2,5;2,9;4,1;53;;;
Простокваша 1,0% жирности;1;2,7;10,1;63;;;
Простокваша 2,5% жирности;1;3;4,1;40;;;
Простокваша 3,2% жирности;2,5;2,9;4,1;53;;;
Простокваша «Мечниковская» 4,0% жирности;3,2;2,9;4,1;59;;;
Простокваша «Цитрусовая» 2,5% жирности;4;2,8;4,1;66;;;
Простокваша нежирная;2,5;2,6;10,1;76;;;
Пудинг из творога (творог п/жирный);0,1;3;3,8;30;;;
Рикотта;9,6;13,9;20,1;224;;;
Ряженка 1,0% жирности;13;11;3;174;;;
Ряженка 2,5% жирности;1;3;4,2;40;;;
Ряженка 4,0% жирности;2,5;2,9;4,2;54;;;
Ряженка 6,0% жирности;4;2,8;4,2;67;;;
Сливки пастеризованные 10,0% жирности;6;3;4,1;85;;;
Сливки пастеризованные 8,0% жирности;10;2,7;4,5;119;;;
Сливки стерилизованные 10,0% жирности;8;2,8;4,5;102;;;
Сливки пастеризованные 35,0% жирности;10;2,7;4,4;119;;;
Сливки сгущеные с сахаром 19,0% жирности;35;2,2;3,2;337;;;
Сливки стерилизованные 25,0% жирности;19;8;47;392;;;
Сливки сухие 42,0% жирности;25;2,4;3,9;251;;;
Сметана 10,0% жирности;42;19;30,2;577;;;
Сметана 15,0% жирности;10;2,7;3,9;119;;;
Сметана 20,0% жирности;15;2,6;3,6;162;;;
Сметана 25,0% жирности;20;2,5;3,4;206;;;
Сметана 30,0% жирности;25;2,4;3,2;250;;;
Сметана «Домашняя» 10,0% жирности;30;2,3;3,1;293;;;
Суп молочный с макаронами;10;3,8;5,6;130;;;
Суп молочный с рисом;1,9;2,2;7,9;58;;;
Суп молочный с тыквой и манной крупой;1,9;1,8;7,3;54;;;
Суп молочный с белокочанной капустой;2,2;2;5,4;50;;;
Сыр домашний 4,0% жирности;2;2;6,8;54;;;
Сыр домашний нежирный;4;17;1,5;113;;;
Сыр плавленый «Золушка»;0,6;18;1,5;86;;;
Сыр плавленый «Костромской»;10,8;15,2;23,8;254;;;
Сыр плавленый «Медовый»;19,2;21,4;2,3;269;;;
Сыр плавленый «Мятный»;16,5;6,1;29,4;291;;;
Сыр плавленый «Российский»;19,1;7,9;32,7;335;;;
Сыр плавленый «Сказка»;23;20,5;2,5;300;;;
Сыр плавленый «Сластена»;18;12,2;26,1;316;;;
Сыр плавленый копченый «Колбасный»;11,4;13;28,4;269;;;
Сыр сычужный мягкий «Адыгейский»;19,4;21,2;3,7;275;;;
Сыр сычужный мягкий «Рокфор»;19,8;19,8;1,5;264;;;
Сыр сычужный мягкий «Русский камамбер»;27,5;20,5;0;335;;;
Сыр сычужный полутвердый «Литовский»;28,8;15,3;0,1;324;;;
Сыр сычужный полутвердый «Прибалтийский»;14,7;27,9;0;250;;;
Сыр сычужный рассольный «Брынза» из коровьего молока;9;29,8;0;207;;;
Сыр сычужный рассольный «Брынза» из овечьего молока;19,2;22,1;0,4;262;;;
Сыр сычужный рассольный «Сулугуни»;18,8;21,1;0,3;260;;;
Сыр сычужный твердый «Голландский» (круглый);22;20,5;0,4;286;;;
Сыр сычужный твердый «Бийский»;30,4;23,7;0;375;;;
Сыр сычужный твердый «Голландский» (брусковый);29,9;24,2;0;371;;;
Сыр сычужный твердый «Костромской»;26,6;26,3;0;350;;;
Сыр сычужный твердый «Латвийский»;26,1;25,6;0;343;;;
Сыр сычужный твердый «Пошехонский»;24,1;23,3;0;316;;;
Сыр сычужный твердый «Российский»;26,1;26;0;344;;;
Сыр сычужный твердый «Советский»;29,5;23,2;0;364;;;
Сыр сычужный твердый «Сусанинский»;31,1;24,4;0;385;;;
Сыр сычужный твердый «Угличский»;23,9;23,8;0;315;;;
Сыр сычужный твердый «Чеддер»;26,3;25,8;0;347;;;
Сыр сычужный твердый «Швейцарский»;30,8;23,5;0;380;;;
Сыр сычужный твердый «Ярославский»;31,6;24,6;0;391;;;
Сырки глазированные с ванилином 10,9% жирности;26,6;26,2;0;350;;;
Сырки глазированные с ванилином 27,7% жирности;10,9;9,4;33,1;270;;;
Сырки и масса творожная «Цитрон» сладкие, 8,0% жирности;27,7;7,9;32,6;413;;;
Сырки и масса творожная сладкая с ванилином 16,5% жирности;8;15;11,5;181;;;
Сырки творожные детские 23,0% жирности;16,5;12;9,5;283;;;
Сырники из творога (творог нежирный);23;9,1;18,5;319;;;
Сырники из творога и картофеля;3,6;18,6;18,2;183;;;
Сырники с морковью;7,7;11,9;15,2;180;;;
Творог «Столовый» 2,0% жирности;11,5;12,9;18,8;232;;;
Творог мягкий диетический 4,0% жирности;2;20;3;114;;;
Творог мягкий диетический, нежирный;4;21;3;136;;;
Творог мягкий диетический, нежирный плодово-ягодный;0,6;22;3,3;110;;;
Творог нежирный;0,5;18,2;14;138;;;
Творог полужирный 9,0% жирности;0,6;22;3,3;110;;;
Творог «Крестьянский» 5,0% жирности;9;18;3;169;;;
Творог жирный 18,0% жирности;5;21;3;145;;;
Творог мягкий диетический 11,0% жирности;18;15;2,8;236;;;
Творог мягкий диетический, плодово-ягодный, 4,0% жирности;11;16;3;178;;;
Творожная масса с изюмом;4;17,3;13,7;164;;;
Тильзитер;21,6;6,8;29,9;343;;;
Фета;26;24;2;340;;;
Чеддер;21;14;4;264;;;
Эдам;33;25;1;403;;;
«Армавирская» полукопченая колбаса;28;25;1;357;;;
«Брауншвейгская» сырокопченая колбаса;40,1;15,1;0,3;423;;;
«Говяжья» вареная колбаса;42,2;27,7;0,2;491;;;
«Диетическая» вареная колбаса;11,7;15;0,2;165;;;
«Докторская» вареная колбаса;13,5;12,1;0;170;;;
«Дорожная» сырокопченая колбаса;22,2;12,8;1,5;257;;;
«Зеленоградская» с мясом утки вареная колбаса;47,7;17;0,4;498;;;
«Зернистая» сырокопченая колбаса;12,1;17,2;2,2;187;;;
«Любительская» вареная колбаса;62,8;9,9;0,3;606;;;
«Любительская» варено-копченая колбаса;28;12,2;0,1;301;;;
«Молочная» вареная колбаса;39;17,2;0,2;420;;;
«Молочные» сосиски;22,8;11,7;0,2;252;;;
«Московская» варено-копченая колбаса;23,9;11;0,4;261;;;
«Одесская» полукопченая колбаса;36,6;19,1;0,2;406;;;
«Олимпийская» сырокопченая колбаса;38,1;14,8;0,3;402;;;
«Отдельная» вареная колбаса;39,1;21,1;0,4;436;;;
«Охотничьи» полукопченые колбаски;11;11;1,7;240;;;
«Подмосковная» с куриным мясом вареная колбаса;40;25,3;0,3;463;;;
«Русская» вареная колбаса;11,6;17,2;1,7;180;;;
«Русские» сосиски;11;11,5;1,7;302;;;
«Свиная» вареная колбаса;22;11,3;1,7;250;;;
«Свиная» сырокопченая колбаса;25,8;10,8;0,5;277;;;
«Сервелат» сырокопченая колбаса;57;13;0,2;566;;;
«Столичные» сосиски;40,5;24;0,2;461;;;
«Столовая» вареная колбаса;20,3;12,2;0,5;234;;;
«Таллинская» полукопченая колбаса;20,2;11,1;1,8;234;;;
«Телячья» вареная колбаса;33,8;17,1;0,2;373;;;
«Чайная» вареная колбаса;28,3;13,2;0,3;308;;;
Азу из говядины;18,4;11,7;1,7;216;;;
Антрекот из говядины;4;6,3;10,2;103;;;
Баранина жареная по 1-396;11,2;29,6;0;220;;;
Баранина отварная по 1-392;19,4;22,4;0;264;;;
Баранина тушеная по 1-422;17,4;21,8;0;244;;;
Баранина 1 кат,;12,7;10,3;3,6;170;;;
Баранина 2 кат,;16,3;15,6;0;209;;;
Баранина сырая;9,6;19,8;0;166;;;
Бедро курицы без кожи сырое;24,4;22;0;314;;;
Бедро курицы с кожей сырое;10,8;25,7;0;207;;;
Белое мясо индейки сырое;15,4;24,9;0;245;;;
Бефстроганов из говядины;2;24;0;115;;;
Биточки паровые из говядины;11,3;16,7;5,9;193;;;
Биточки паровые из мяса кур;10,8;14,5;9,1;192;;;
Биточки с рисом из говядины;7,2;18,6;9,3;176;;;
Бифштекс из говядины с яйцом;5,5;5;18,5;144;;;
Бифштекс из говядины;20,8;21,5;0,4;275;;;
Бифштекс из говядины рубленый;11,2;29,2;0;216;;;
Бройлеры (цыплята) 1 кат,;25,6;18,4;0;306;;;
Бройлеры (цыплята) 2 кат,;16,1;18,7;0;220;;;
Бутерброд с «любительской» вареной колбасой;11,2;19,7;0;180;;;
Бутерброд с отварной говядиной;14,3;8,5;14,2;220;;;
Вареная колбаса «Для завтрака»;3,7;7,6;14,2;122;;;
Вареники ленивые отварные;13,9;13;2,4;187;;;
Говядина жареная;7;13,2;13,8;173;;;
Говядина отварная;6;28,4;0;168;;;
Говядина тушеная;16,8;25,8;0;254;;;
Говядина 1 кат,;5,4;13,6;3,3;116;;;
Говядина 2 кат,;16;18,6;0;218;;;
Говяжий фарш сырой;9,8;20;0;168;;;
Говяжий язык отварной;20;17,2;0;254;;;
Говяжье сердце тушеное в соусе;15;24;2,7;231;;;
Говяжьи сардельки;6,3;10,3;5;113;;;
Говяжьи сосиски;18,2;11,4;1,3;215;;;
Голень куриная без кожи сырая;20,1;10,4;0,8;226;;;
Голень куриная с кожей сырая;5,6;28,1;0;171;;;
Голубцы говяжьи;11,1;26,8;0;214;;;
Грудинка свиная сырая;4,9;8,5;8,4;111;;;
Грудинка свиная сырая;45;12;1;458;;;
Грудинка свинины копчено-запеченная;45;12;1;458;;;
Грудинка свинины сырокопченая;52,7;10;0;514;;;
Грудка курицы без кожи сырая;63,3;8,9;0;605;;;
Грудка курицы с кожей сырая;3,5;30,8;0;164;;;
Гуси 1 кат,;7,7;29,6;0;195;;;
Гуси 2 кат,;39;15,2;0;412;;;
Диабетическая вареная колбаса;27,7;17;0;317;;;
Духовая говядина;22,8;12,1;0;254;;;
Жаркое по-домашнему из говядины;3,8;6,6;10,7;104;;;
Желудок курицы сырой;4;6,5;11,1;108;;;
Зразы рубленые из говядины;2;18;0;94;;;
Индейка жареная;15,7;12,1;13,1;244;;;
Индейка отварная;20,7;23,4;0,1;280;;;
Индейка целиком сырая;19,8;23,6;0;273;;;
Индейки 1 кат,;7;28,9;0;187;;;
Индейки 2 кат,;22;19,5;0;276;;;
Кожа курицы сырая;12;21,6;0;194;;;
Конина 1 кат,;40,3;20,2;0;450;;;
Конина 2 кат,;9,9;19,5;0;167;;;
Консервы «Завтрак туриста» из баранины;4,1;20,9;0;121;;;
Консервы «Завтрак туриста» из говядины;15,2;18;0,2;210;;;
Консервы «Завтрак туриста» из свинины;14,9;20,5;0,2;217;;;
Консервы «Паштет мясной» из говядины;31;16,9;0,2;347;;;
Консервы «Паштет печеночный»;23,3;16,1;0,4;275;;;
Консервы из бараньего гуляша;28,1;11,6;3,4;301;;;
Консервы из говядины в белом соусе;15,6;14,2;3,9;213;;;
Консервы из говяжьего гуляша;14,8;18;3,6;220;;;
Консервы из говяжьего языка в желе;14,3;16,8;3,9;212;;;
Консервы из жирной свинины;13,6;22,4;2,4;212;;;
Консервы из колбасного куриного фарша;48,9;11,5;0;486;;;
Консервы из курицы в собственном соку;15,6;15;0;200;;;
Консервы из особой ветчины;9,9;23,2;0,4;183;;;
